,SA2_NAME16,Longitude,Latitude,X,Y,Remoteness,IRSD,PAP,PPHD,PSCD,PEMD,PLCS,PCS,PVOD,PVTD,PI,PCOB,PD,PML
221,South Trees,151.2957823,-23.88205379,1737139.588,-2839140.062,2,6,0.822209436,0.10590476,0.104408621,0.103847147,0.077547601,0.084151344,0.224640133,0.135270977,0.168826189,0.878248928,0.038492456,0.868294671
222,Telina - Toolooa,151.2687193,-23.9126287,1733979.705,-2842084.792,2,5,0.784810127,0.102272727,0.090909091,0.102272727,0.056818182,0.045454545,0.193181818,0.113636364,0.17721519,0.84375,0.086538462,0.857946554
223,West Gladstone,151.2465597,-23.85838465,1732581.735,-2835891.513,2,2,0.725663717,0.166666667,0.148148148,0.148148148,0.12962963,0.111111111,0.333333333,0.203703704,0.14159292,1,0,0.825958702
224,Broadbeach Waters,153.4149232,-28.02696489,1878553.63,-3318578.075,1,9,0.989473684,0.015625,0.0625,0.0625,0.03125,0.015625,0.078125,0.0625,0.042105263,0.71040724,0,0.778947368
225,Burleigh Heads,153.4351667,-28.10239142,1879224.783,-3327039.756,1,7,0.95483871,0.019607843,0.196078431,0.117647059,0.098039216,0.019607843,0.215686275,0.137254902,0,0.992565056,0.033457249,1
226,Burleigh Waters,153.4322309,-28.08729953,1879197.642,-3325363.335,1,7,1,0.108695652,0.130434783,0.108695652,0.038043478,0.092391304,0.244565217,0.135869565,0.079012346,0.875,0.029661017,1
227,Mermaid Beach - Broadbeach,153.4341089,-28.03793311,1880210.24,-3320051.428,1,7,1,0.075757576,0.121212121,0.045454545,0.045454545,0.060606061,0.196969697,0.090909091,0.046511628,1,0,1
228,Mermaid Waters,153.4214968,-28.04982257,1878799.423,-3321148.893,1,6,1,0.05,0.107142857,0.078571429,0.057142857,0.057142857,0.207142857,0.114285714,0.105660377,1,0.019823789,1
229,Miami,153.4358514,-28.06821315,1879866.837,-3323352.885,1,7,1,0.018518519,0.092592593,0.037037037,0.055555556,0.037037037,0.12962963,0.055555556,0.098591549,0.939759036,0.036144578,1
230,Coolangatta,153.5336987,-28.16973986,1887533.917,-3335801.308,1,4,0.8,0.060344828,0.070689655,0.055172414,0.034482759,0.060344828,0.156896552,0.072413793,0.2,1,0,0.838095238
231,Currumbin - Tugun,153.4941897,-28.14953374,1884088.663,-3333022.855,1,6,0.992805755,0.050359712,0.064748201,0.035971223,0.014388489,0.043165468,0.115107914,0.064748201,0.143884892,0.931464174,0.018691589,0.923261391
232,Currumbin Waters,153.4627,-28.15427175,1880989.603,-3333063.649,1,6,0.992125984,0.063063063,0.045045045,0.063063063,0.018018018,0.036036036,0.144144144,0.054054054,0.047244094,0.843225084,0.020156775,0.881889764
233,Elanora,153.4491773,-28.13583227,1880004.327,-3330866.674,1,7,0.905882353,0.098684211,0.078947368,0.052631579,0.046052632,0.072368421,0.197368421,0.085526316,0.064705882,0.861111111,0.04040404,0.890196078
234,Palm Beach,153.4631022,-28.11598054,1881674.813,-3328927.705,1,5,1,0.04,0.086666667,0.073333333,0.046666667,0.08,0.173333333,0.08,0.071625344,0.944006309,0.023659306,1
235,Arundel,153.3629053,-27.93763845,1875061.145,-3308138.523,1,6,1,0.099236641,0.106870229,0.06870229,0.106870229,0.114503817,0.259541985,0.129770992,0.051851852,0.817047817,0.037422037,0.716049383
236,Biggera Waters,153.3914441,-27.92979817,1877934.742,-3307716.557,1,4,1,0.115384615,0.153846154,0.08974359,0.166666667,0.217948718,0.397435897,0.192307692,0.042553191,1,0.036511156,0.799054374
237,Coombabah,153.3709646,-27.91068902,1876288.344,-3305343.601,1,3,1,0.125,0.105769231,0.115384615,0.067307692,0.134615385,0.278846154,0.125,0.109375,0.870100784,0.020156775,0.75
238,Labrador,153.3978786,-27.9462023,1878276.837,-3309587.157,1,2,0.972826087,0.063583815,0.069364162,0.121387283,0.063583815,0.057803468,0.213872832,0.092485549,0.114130435,0.901397516,0.069875776,0.65942029
239,Paradise Point - Hollywell,153.3953216,-27.88511278,1879059.23,-3302940.938,1,8,1,0.05952381,0.05952381,0.047619048,0.011904762,0.023809524,0.154761905,0.023809524,0,0.943548387,0,0.965909091
240,Runaway Bay,153.3977471,-27.91386205,1878808.498,-3306086.964,1,7,0.95,0.089552239,0.208955224,0.089552239,0.164179104,0.164179104,0.328358209,0.194029851,0.0625,0.777777778,0.074074074,0.733333333
241,Guanaba - Springbrook,153.2552798,-28.11526563,1861753.016,-3325755.113,2,7,0.910714286,0.173913043,0.130434783,0.065217391,0.043478261,0.108695652,0.239130435,0.152173913,0.160714286,0.829457364,0,1
242,Tamborine - Canungra,153.1493037,-28.09562612,1851912.416,-3322064.219,1,7,0.777777778,0.08045977,0.08045977,0.086206897,0.040229885,0.08045977,0.189655172,0.103448276,0.055555556,0.719242902,0.014195584,0.818518519
243,Currumbin Valley - Tallebudgera,153.3789836,-28.18875862,1872383.203,-3335544.191,1,9,0.777777778,0.110091743,0.110091743,0.055045872,0.027522936,0.091743119,0.220183486,0.091743119,0.055555556,0.744966443,0,0.858024691
244,Mudgeeraba - Bonogin,153.3506053,-28.12109789,1870799.136,-3327801.737,1,8,1,0.084870849,0.077490775,0.077490775,0.044280443,0.036900369,0.188191882,0.066420664,0.048387097,0.755215577,0.022253129,0.879569892
245,Reedy Creek - Andrews,153.401873,-28.11347412,1875844.608,-3327741.214,1,9,1,0.044776119,0.074626866,0.037313433,0.02238806,0.02238806,0.141791045,0.052238806,0.076923077,0.874749499,0.06012024,0.939393939
246,Carrara,153.3663425,-28.02150624,1873982.083,-3317262.278,1,7,1,0.122137405,0.06870229,0.083969466,0.038167939,0.061068702,0.236641221,0.076335878,0.105263158,0.909005629,0.016885553,0.912280702
247,Highland Park,153.3354809,-28.01566214,1871117.434,-3316170.216,1,6,0.958333333,0.055555556,0.122222222,0.1,0.044444444,0.077777778,0.177777778,0.133333333,0.066666667,0.879807692,0.021634615,0.902777778
248,Nerang - Mount Nathan,153.3002967,-27.99015765,1868166.573,-3312887.613,1,4,1,0.147286822,0.127906977,0.158914729,0.058139535,0.108527132,0.282945736,0.158914729,0.097972973,0.971442401,0.043562439,0.940315315
249,Pacific Pines - Gaven,153.3231526,-27.94723299,1871081.138,-3308583.94,1,7,1,0.054711246,0.094224924,0.082066869,0.060790274,0.069908815,0.203647416,0.100303951,0.062407132,0.896946565,0.043256997,0.881624567
250,Worongary - Tallai,153.331558,-28.05325017,1870110.313,-3320178.197,1,8,0.920792079,0.065789474,0.065789474,0.065789474,0.052631579,0.065789474,0.171052632,0.078947368,0.079207921,0.752161383,0.060518732,0.825082508
251,Coomera,153.3396498,-27.84692624,1874349.097,-3297978.895,1,6,1,0.129449838,0.155339806,0.093851133,0.116504854,0.1197411,0.284789644,0.155339806,0.090604027,0.854066986,0.060287081,0.851230425
252,Helensvale,153.3374044,-27.90088746,1873227.839,-3303782.674,1,8,1,0.085,0.085,0.07,0.02,0.05,0.13,0.09,0.051813472,0.847006652,0.075388027,0.868739206
253,Hope Island,153.3971348,-27.84053634,1879983.68,-3298146.359,1,9,1,0.073170732,0.105691057,0.073170732,0.040650407,0.073170732,0.195121951,0.073170732,0.025974026,0.808118081,0.036900369,0.871572872
254,Jacobs Well - Alberton,153.3385709,-27.74815866,1875902.514,-3287278.906,1,6,0.87804878,0.048780488,0.097560976,0.097560976,0.048780488,0.024390244,0.170731707,0.097560976,0.073170732,0.940140845,0,1
255,Ormeau - Yatala,153.230046,-27.76802227,1865126.364,-3287812.404,1,8,0.958611482,0.115281501,0.077747989,0.117962466,0.058981233,0.056300268,0.227882038,0.101876676,0.074766355,0.923696319,0.055214724,1
256,Oxenford - Maudsland,153.2917103,-27.9205714,1868506.804,-3305231.831,1,7,0.994371482,0.082608696,0.104347826,0.104347826,0.082608696,0.060869565,0.217391304,0.134782609,0.048780488,0.891280947,0.074273412,0.969355847
257,Pimpama,153.3140218,-27.81294144,1872454.392,-3293920.552,1,5,1,0.139880952,0.172619048,0.110119048,0.148809524,0.119047619,0.321428571,0.175595238,0.163855422,1,0.069152542,1
258,Upper Coomera - Willow Vale,153.2414942,-27.86105641,1864674.845,-3298047.322,1,7,1,0.115569823,0.141252006,0.110754414,0.070626003,0.115569823,0.258426966,0.147672552,0.092592593,0.909694555,0.06374502,0.972222222
259,Clear Island Waters,153.397303,-28.04195698,1876609.971,-3319936.559,1,9,1,0.076923077,0.038461538,0.038461538,0.038461538,0.038461538,0.153846154,0.038461538,0,0.696,0,0.676056338
